ID,Date,Tweet
1644377213586776066,2023-04-07 16:30:53+00:00,Mehdi debates Matt Taibbi on the 'Twitter Files' and Elon Musk https://t.co/AI8i2syAuc via @YouTube
1644377210680225792,2023-04-07 16:30:52+00:00,RT @mopar_mutt_58: This car is definitely worth looking at if you’re in the market for an electric car under 50k. Forget about Tesla and F…
1644377215289663489,2023-04-07 16:30:53+00:00,RT @lcvelez: Elon Musk y algunos de los cerebros mas importantes en el mundo de la tecnología están pidiendo detener el desarrollo de la in…
1644377217617772544,2023-04-07 16:30:54+00:00,"Ooh, I see Elon has dropped the corgi logo."
1644377217919483908,2023-04-07 16:30:54+00:00,"RT @DubreuilhMarcel: Ça va faire du bruit, préparez-vous : 

🚨 Elon Musk est stupéfait après les révélations de François Hollande sur l’Ukr…"
1644377214085890054,2023-04-07 16:30:53+00:00,"RT @AncPhi: Perhaps substack ban disproportionately affects rw twitter creators because they depend on the free speech model of substack, a…"
1644377221979848704,2023-04-07 16:30:55+00:00,RT @cb_doge: Elon Musk is officially the biggest account on Twitter with 134 Million followers🎖️ @elonmusk https://t.co/RTRoB8ODNu
1644377219614257152,2023-04-07 16:30:54+00:00,"@Fredo_2023 nick said age of consent is feminist social construct.

thats it. it debunks all his bs in this video he doesnt really believe it. he is just using moral blackmail to downplay his racism by using ""children"" as props. he doesnt believe in any of it, not even the god part."
1644377223527268367,2023-04-07 16:30:55+00:00,RT @mehdirhasan: Me: How did you go from being the scourge of Wall Street to being unable to say anything critical of a rightwing billionai…
1644377227511885826,2023-04-07 16:30:56+00:00,The value of a central platform where people can post and talk about their work on other platforms which may be good for hosting but are bad for communication is so obvious to anyone with a working brain it's actually amazing he doesn't get it yet can still form sentences.
1644377230930477056,2023-04-07 16:30:57+00:00,RT @parismarx: *elon musk cutting off links to substack* https://t.co/2Kzno8ujTJ
1644377234130468880,2023-04-07 16:30:58+00:00,"HASTA ELON MUSK INVOLUCRADO EN LA GUERRA DE UCRANIA CON SUS SATELITES.
https://t.co/jozvcY6ARd"
1644377233425932289,2023-04-07 16:30:58+00:00,@elonmusk @cb_doge sir why did you not buy elon musk all comapnies #foolkid
